# index, sex, race, grade, school, _pos
0,2,1,11,1,"array([22.81850197,  9.44229395])"
1,1,2,10,1,"array([24.52704816,  8.65842709])"
2,1,4,9,1,"array([24.40561388,  9.26208315])"
3,1,0,10,1,"array([26.07451304,  8.20268978])"
4,1,1,10,1,"array([25.03683391,  8.38094566])"
5,2,1,11,1,"array([22.39764978, 10.09844834])"
6,1,1,9,1,"array([24.12625552, 10.02598416])"
7,1,2,9,1,"array([26.7319375,  8.1580511])"
8,1,1,9,1,"array([24.46883773, 10.02094846])"
9,1,1,12,1,"array([32.53074447,  7.50134306])"
10,1,1,9,1,"array([24.81448106,  8.68660266])"
11,1,1,11,1,"array([22.43299928,  9.82393636])"
12,2,1,10,1,"array([24.71052899,  8.30379004])"
13,2,1,9,1,"array([23.78216997, 10.34025174])"
14,2,1,10,1,"array([24.27968621,  8.83428781])"
15,2,1,9,1,"array([23.98544088, 10.3997969 ])"
16,2,1,9,1,"array([23.04507494, 17.93921853])"
17,1,1,12,1,"array([23.32789662, 10.37498745])"
18,2,1,11,1,"array([22.18343808,  9.82631083])"
19,2,1,10,1,"array([23.40765664,  9.52156417])"
20,1,1,10,1,"array([24.3442279,  8.9507578])"
21,1,1,10,1,"array([23.49418618, 10.69507641])"
22,1,1,11,1,"array([23.47528119,  8.08538072])"
23,1,2,10,1,"array([25.06298289,  8.56763697])"
24,1,2,12,1,"array([24.93033074,  9.12171051])"
25,2,1,9,1,"array([24.75336463,  9.73652298])"
26,1,1,9,1,"array([24.38980165, 10.7795117 ])"
27,2,1,11,1,"array([24.54708492,  8.95919199])"
28,1,1,11,1,"array([23.03124585, 10.81668378])"
29,1,1,12,1,"array([22.52575451,  9.01247555])"
30,1,1,12,1,"array([22.73061555,  8.08330469])"
31,1,1,12,1,"array([22.43042025,  8.08822875])"
32,2,5,9,1,"array([26.16377259,  9.00024168])"
33,2,2,9,1,"array([24.87648222,  8.80118093])"
34,1,2,9,1,"array([25.89568455,  8.62311449])"
35,2,1,9,1,"array([24.13459382, 10.64729046])"
36,2,1,12,1,"array([23.04541395, 11.31030345])"
37,1,1,9,1,"array([17.41990375, 13.78689024])"
38,1,1,11,1,"array([22.0247281 ,  8.15826405])"
39,1,4,11,1,"array([23.59200306,  8.75179903])"
40,1,1,11,1,"array([23.08857555,  8.98196033])"
41,1,1,10,1,"array([25.35898307,  9.57599217])"
42,1,1,9,1,"array([24.03339789, 10.27247289])"
43,1,1,10,1,"array([23.27439267,  8.27453246])"
44,2,1,10,1,"array([24.92659074,  8.67042366])"
45,1,1,12,1,"array([23.73265274, 11.22847924])"
46,2,2,10,1,"array([24.54501323,  8.47950336])"
47,1,1,9,1,"array([24.44145239, 10.66184205])"
48,2,1,9,1,"array([23.86778556, 11.06364199])"
49,2,1,10,1,"array([23.23745999, 10.34701325])"
50,2,3,9,1,"array([25.00844816,  9.54726048])"
51,1,1,9,1,"array([25.12153656,  9.60112799])"
52,2,1,9,1,"array([25.18697109,  9.68094076])"
53,1,1,11,1,"array([22.98425679, 10.31865153])"
54,1,1,10,1,"array([23.88640197,  9.44597459])"
55,2,1,11,1,"array([23.50139852,  9.1656615 ])"
56,2,1,10,1,"array([23.87937301,  7.19847722])"
57,2,2,11,1,"array([24.82995662,  7.90234857])"
58,1,2,11,1,"array([25.1255044 ,  6.82003593])"
59,2,2,11,1,"array([25.67777136,  8.00890579])"
60,1,2,12,1,"array([23.35768279,  8.0046967 ])"
61,2,1,11,1,"array([23.08464389,  9.75160762])"
62,1,1,10,1,"array([23.86620449, 10.88598302])"
63,1,1,12,1,"array([23.51764835,  9.47243082])"
64,1,1,10,1,"array([23.6112539 ,  7.91330484])"
65,2,1,9,1,"array([24.70949757, 10.34967218])"
66,1,1,9,1,"array([24.27940635,  9.557058  ])"
67,2,1,10,1,"array([24.21128063,  8.18639063])"
68,2,1,9,1,"array([24.93738629,  9.74619109])"
69,1,3,9,1,"array([20.39202239, 16.92783287])"
70,2,1,12,1,"array([22.71902872,  8.75982932])"
71,2,1,11,1,"array([22.66327493, 11.02034879])"
72,2,1,9,1,"array([25.11037663,  8.86452473])"
73,1,4,9,1,"array([25.88529665,  9.77698025])"
74,1,5,10,1,"array([23.63582916,  8.21884093])"
75,1,1,12,1,"array([23.23252629, 10.82236408])"
76,1,1,9,1,"array([24.78201708,  8.41969585])"
77,1,1,9,1,"array([24.69782375, 10.4565428 ])"
78,2,1,10,1,"array([23.44847033,  8.37641065])"
79,1,1,11,1,"array([21.6393044 ,  9.87532952])"
80,1,1,11,1,"array([23.58372347, 10.51886437])"
81,2,1,11,1,"array([23.19122428, 10.44311613])"
82,1,4,10,1,"array([24.30841612,  8.17694684])"
83,1,2,9,1,"array([26.05210597,  9.10947522])"
84,2,5,9,1,"array([25.4615209 , 10.09574413])"
85,2,3,9,1,"array([24.83461252, 10.09453753])"
86,1,1,10,1,"array([22.86257926,  7.85443226])"
87,1,1,9,1,"array([24.8390683 ,  1.54645378])"
88,2,1,11,1,"array([23.33424665,  8.54867431])"
89,2,1,9,1,"array([26.1124126 ,  7.32004567])"
90,1,1,12,1,"array([22.51501625, 10.32668295])"
91,1,2,12,1,"array([24.10821508,  7.59771083])"
92,1,1,11,1,"array([22.39058355, 11.16042629])"
93,2,1,11,1,"array([24.25911482,  8.63853051])"
94,1,1,10,1,"array([21.70270938, 11.0141062 ])"
95,1,1,10,1,"array([25.41151881,  9.25807603])"
96,2,1,10,1,"array([24.52054559,  8.0085412 ])"
97,2,1,9,1,"array([25.26144867,  9.95645892])"
98,1,1,9,1,"array([24.58404332,  9.43245541])"
99,2,1,11,1,"array([24.16509656,  7.12316487])"
100,1,1,10,1,"array([23.95391059,  7.97680915])"
101,1,1,10,1,"array([27.61445553,  2.49046798])"
102,2,1,9,1,"array([23.80064952,  9.46678552])"
103,2,1,9,1,"array([24.82316578,  9.27030132])"
104,2,2,10,1,"array([26.28324839,  9.05869652])"
105,2,1,11,1,"array([22.17593086,  9.7101588 ])"
106,1,1,10,1,"array([23.99497771,  8.67542076])"
107,1,1,9,1,"array([25.14017241,  9.95965552])"
108,2,1,9,1,"array([24.03646112,  9.58080798])"
109,2,1,11,1,"array([22.64575806,  8.15841562])"
110,2,1,9,1,"array([24.53791849, 10.33658726])"
111,2,1,11,1,"array([23.44471668,  8.5722764 ])"
112,2,1,11,1,"array([22.98400883,  9.98024279])"
113,1,1,11,1,"array([23.1127786 ,  7.45943877])"
114,2,2,10,1,"array([24.21742428,  8.04620092])"
115,2,1,9,1,"array([24.48799238,  9.63706539])"
116,1,1,11,1,"array([22.89936194, 10.57129053])"
117,2,2,9,1,"array([25.6611918 ,  8.44750498])"
118,1,1,9,1,"array([24.76854845,  9.8164506 ])"
119,2,1,9,1,"array([24.72017182,  9.90529144])"
120,1,1,10,1,"array([24.78898359,  9.09359508])"
121,2,1,10,1,"array([24.35889288,  9.04563543])"
122,2,1,12,1,"array([22.81128088,  9.72932727])"
123,1,1,11,1,"array([26.39269048,  1.92236   ])"
124,2,5,9,1,"array([24.9693805, 10.3275823])"
125,2,1,9,1,"array([23.85013807, 10.7532381 ])"
126,1,1,12,1,"array([22.42665565,  9.36288766])"
127,1,2,9,1,"array([24.4534567 ,  8.33335028])"
128,2,2,10,1,"array([26.00531937,  7.53651161])"
